Origin,Dest,Distance,Month,DayOfWeek,Hour,Weather_Rain,Weather_Wind,Visibility,Temperature,Delay_Status
LAS,IAH,1645,3,1,20,41.24,36.91,5.5,20.27,1
DFW,BOS,1517,6,1,2,20.22,30.13,8.35,-6.1,1
CLT,MIA,1469,5,4,3,58.96,1.02,2.41,32.31,1
LAX,MIA,3972,1,2,4,20.23,54.01,9.8,19.9,1
JFK,MIA,1779,11,6,17,54.98,49.62,1.63,33.49,1
ATL,PHX,285,3,6,9,45.77,10.45,5.81,33.38,1
ATL,DTW,2803,12,1,7,12.75,24.8,9.24,17.3,1
ATL,MSP,2065,1,6,11,67.89,46.23,9.51,35.54,1
DFW,MSP,3646,4,2,21,15.05,58.8,3.09,32.42,1
JFK,BOS,1669,10,3,2,74.22,57.07,2.3,37.91,1
DFW,MIA,577,3,3,17,0.55,53.96,7.52,32.52,1
LAS,MSP,3661,11,2,22,19.76,9.5,1.38,31.06,1
DFW,SEA,1880,4,6,7,14.99,54.87,5.37,13.47,1
JFK,DTW,1274,9,6,0,1.05,52.71,8.17,0.6,1
JFK,MSP,441,3,6,13,54.93,22.62,6.04,35.54,1
LAS,IAH,3565,12,7,21,52.01,23.67,2.69,26.13,1
JFK,DTW,1119,6,4,22,59.43,27.59,5.38,4.09,1
CLT,IAH,1786,6,5,12,19.25,39.37,9.29,7.05,1
JFK,MSP,2513,7,2,11,33.33,15.65,6.55,24.3,1
ATL,SEA,3391,9,2,2,49.43,1.38,7.49,13.89,1
CLT,IAH,2959,12,7,17,32.98,8.47,4.03,-5.93,1
CLT,PHX,1471,7,2,20,52.3,26.41,2.7,-2.93,1
LAS,MSP,269,1,2,12,47.55,16.92,3.3,27.28,1
ORD,PHX,2304,8,7,14,8.6,45.87,5.8,6.43,1
ORD,MSP,1605,5,2,9,58.58,6.4,3.52,15.38,1
JFK,SFO,2286,9,6,0,54.05,55.05,5.88,28.33,1
CLT,SFO,2207,10,7,5,49.19,53.72,7.37,27.56,1
ORD,SFO,1000,12,4,8,11.63,54.53,7.61,-1.65,1
ORD,IAH,3714,5,1,9,20.1,44.38,2.48,-5.08,1
JFK,PHX,1241,5,6,14,29.49,6.42,7.75,19.56,1
ORD,PHX,2979,12,6,8,20.99,26.29,7.05,27.08,1
DFW,PHX,1024,12,5,22,17.09,7.88,1.11,-2.55,1
LAX,SEA,955,2,7,13,60.4,59.26,1.53,8.6,1
LAS,PHX,2599,12,1,10,47.87,19.98,6.82,33.51,1
LAX,SEA,2195,11,2,6,42.41,35.12,4.45,37.21,1
JFK,SFO,2039,3,1,23,16.95,46.76,2.31,12.7,1
ATL,SFO,1521,10,4,1,68.86,55.24,1.4,-6.02,1
LAS,IAH,2530,9,3,13,14.34,45.33,2.43,2.88,1
JFK,MSP,1809,7,6,5,59.62,40.47,9.62,1.65,1
CLT,SFO,309,1,7,4,72.5,27.96,7.55,1.95,1
ATL,MSP,1216,3,7,4,54.53,36.32,5.75,14.69,1
LAX,MSP,3451,12,1,18,74.46,5.65,9.47,19.16,1
JFK,DTW,2161,2,5,18,48.83,53.04,6.57,-3.87,1
CLT,IAH,2791,1,4,5,16.31,32.63,7.53,34.47,1
LAS,MIA,1969,9,3,9,15.29,2.41,3.54,21.0,0
LAS,MIA,224,8,4,22,24.34,55.19,6.3,19.86,1
DEN,BOS,1042,5,7,13,0.53,29.36,2.29,39.36,1
CLT,DTW,3038,11,2,16,51.13,52.12,4.64,21.41,1
DFW,IAH,937,12,3,2,20.15,51.41,1.3,36.45,1
ORD,BOS,2304,2,7,0,61.14,48.95,2.95,4.31,1
ATL,BOS,379,1,5,9,26.94,3.68,1.67,2.01,1
CLT,DTW,431,7,3,2,36.0,14.82,4.49,15.83,1
DEN,MIA,2117,11,7,4,72.43,52.53,8.59,15.43,1
ORD,IAH,542,11,5,18,18.16,53.94,4.4,1.32,1
ORD,MIA,676,2,2,9,54.09,27.48,8.48,24.98,1
JFK,BOS,2022,1,5,15,56.63,26.4,6.91,-8.52,1
ORD,IAH,2823,2,4,0,16.57,10.51,5.59,24.53,1
DFW,BOS,654,7,1,5,37.57,58.1,3.13,12.86,1
LAS,PHX,1455,7,4,8,26.27,12.79,9.3,24.45,1
DEN,DTW,488,10,7,4,57.89,11.46,1.49,13.85,1
ORD,MSP,1436,6,7,13,46.69,39.64,7.2,38.87,1
JFK,IAH,2505,5,6,9,35.7,14.57,6.59,6.73,1
DFW,IAH,729,3,4,1,58.45,56.33,4.97,39.13,1
LAX,MSP,2934,12,3,4,17.64,0.65,3.16,-6.75,1
LAS,BOS,3176,3,2,0,56.52,0.35,4.88,24.19,1
LAS,PHX,2476,11,6,9,64.9,30.29,8.85,12.71,1
DEN,SEA,3497,12,6,21,65.9,29.28,8.53,31.11,1
LAS,MSP,795,9,6,8,58.78,9.8,9.47,29.48,1
ORD,DTW,634,4,7,2,30.6,29.67,3.77,30.01,1
JFK,MIA,1081,9,1,14,73.64,24.7,4.48,-5.26,1
LAS,BOS,3268,4,5,3,28.47,53.42,1.17,31.12,1
LAS,MSP,1981,2,3,12,47.9,0.56,9.49,0.7,1
LAX,MSP,601,4,7,5,12.08,58.58,3.96,-8.72,1
LAX,IAH,2869,6,2,19,73.53,37.46,4.64,0.89,1
ATL,MIA,2335,6,7,16,52.8,9.11,9.17,13.96,1
DFW,MIA,2831,5,1,22,56.5,2.81,5.74,27.11,1
ORD,DTW,1765,1,7,4,4.93,32.29,6.1,0.93,1
LAS,MIA,3955,3,7,14,57.26,14.09,2.59,-4.35,1
CLT,MSP,508,5,4,7,58.1,18.07,5.49,22.3,1
LAS,SEA,3153,6,2,4,50.38,14.71,9.26,39.19,1
JFK,SFO,542,1,6,23,21.89,39.01,6.03,20.04,1
ATL,BOS,635,9,2,12,36.73,33.21,3.3,24.55,1
DFW,SFO,376,3,2,0,8.28,4.68,1.28,18.06,1
CLT,MSP,338,10,4,0,35.37,31.59,4.03,29.12,1
ATL,SFO,393,3,5,6,18.29,47.47,6.15,38.79,1
DEN,MSP,3457,11,7,21,26.18,4.87,1.38,17.21,1
DFW,SFO,3489,2,3,4,12.2,53.38,6.49,10.84,1
LAS,MIA,3435,8,6,13,17.25,34.7,5.71,33.02,1
LAS,PHX,1384,3,5,14,5.74,57.04,8.05,38.49,1
DFW,MIA,1142,6,1,20,68.99,8.89,1.26,-3.54,1
LAS,MIA,724,2,7,16,39.78,59.61,8.03,18.91,1
ORD,DTW,1824,7,6,23,29.76,38.66,5.69,29.62,1
DFW,IAH,3313,4,3,17,40.13,34.05,4.33,16.67,1
ATL,IAH,3162,9,7,6,47.12,30.92,9.69,10.46,1
DFW,SFO,2457,10,1,21,69.14,1.42,2.44,22.76,1
CLT,MSP,940,9,4,17,13.4,56.38,5.87,3.51,1
LAS,DTW,1061,7,5,18,22.17,38.64,3.89,7.46,1
ORD,MIA,3546,12,7,19,73.18,5.5,5.75,39.61,1
ORD,DTW,1153,8,6,6,27.84,1.26,5.97,21.82,1
DEN,SFO,1502,3,2,7,1.69,3.05,1.81,33.65,0
ATL,IAH,1474,11,3,12,11.07,36.56,6.95,30.39,1
LAX,PHX,3581,5,7,17,1.98,36.84,6.71,22.61,1
LAX,BOS,1943,2,6,23,74.24,29.98,7.93,32.04,1
DFW,SFO,3080,10,2,10,20.92,18.41,1.82,4.36,1
DEN,DTW,2387,7,6,8,69.27,31.9,3.68,21.86,1
JFK,PHX,991,8,7,22,74.69,30.98,6.85,19.53,1
DFW,BOS,745,9,1,0,44.99,1.16,2.23,21.12,1
DEN,SEA,2044,11,2,21,2.49,16.95,7.1,-1.57,1
ATL,SFO,1216,11,2,7,6.12,3.19,1.53,3.86,0
ATL,SFO,2127,7,6,20,36.12,54.01,4.01,4.33,1
ATL,SEA,1753,10,4,11,30.46,43.51,8.62,20.1,1
ATL,SEA,256,10,7,1,45.46,59.77,7.97,38.63,1
ATL,SFO,2359,8,4,14,32.91,18.13,6.8,37.7,1
DEN,SEA,204,12,5,20,70.06,52.71,8.83,1.36,1
DEN,MIA,3681,9,1,23,40.11,36.18,7.38,5.24,1
ORD,BOS,1637,6,4,17,52.03,27.19,5.67,-8.2,1
CLT,BOS,3453,12,6,16,67.24,13.35,9.82,9.94,1
LAX,BOS,3284,12,7,14,11.02,44.3,7.25,31.73,1
LAS,MIA,1562,10,4,19,17.23,54.25,6.41,35.79,1
ATL,MSP,2020,2,5,19,8.05,14.12,4.68,1.82,1
JFK,SEA,1482,2,3,8,10.47,10.52,9.12,3.29,0
LAS,PHX,2337,4,5,2,38.44,41.77,3.66,1.04,1
DEN,SEA,2863,9,2,19,24.09,58.62,1.08,7.51,1
JFK,SFO,3138,7,7,18,31.74,45.0,2.77,30.24,1
JFK,IAH,2945,2,2,17,73.69,17.07,1.99,22.34,1
JFK,DTW,1473,8,4,19,11.75,25.2,3.87,29.3,1
ORD,DTW,3526,11,4,7,40.56,23.06,8.43,19.15,1
DEN,BOS,3859,7,5,0,7.42,51.13,6.86,2.89,1
JFK,SEA,3145,9,5,23,23.89,46.28,2.52,1.4,1
ATL,PHX,3218,8,6,23,39.56,35.34,8.1,-9.55,1
DFW,SFO,1331,3,1,14,71.0,16.5,5.54,29.05,1
JFK,MIA,867,1,6,18,29.34,56.28,5.61,32.36,1
ORD,MSP,2841,2,2,9,4.87,39.2,4.26,28.41,1
LAS,MIA,2836,2,6,11,29.11,58.23,8.78,-6.28,1
DEN,PHX,2732,4,5,5,10.93,34.81,3.86,28.11,1
CLT,SFO,3229,6,7,12,17.25,49.27,1.85,-7.71,1
ORD,BOS,3219,4,6,3,46.36,48.79,3.72,-4.72,1
JFK,SEA,1481,9,3,12,5.06,20.24,7.44,12.02,1
DEN,SFO,2886,4,1,16,34.85,57.84,6.92,13.81,1
DFW,DTW,1196,6,5,0,45.71,1.32,2.69,30.81,1
JFK,MSP,2126,6,7,4,31.64,46.12,2.01,23.98,1
ORD,MIA,481,10,4,23,1.43,57.93,6.95,-2.33,1
LAX,MSP,3233,11,6,16,73.91,20.33,7.09,1.31,1
ATL,MSP,3359,10,5,17,27.53,38.89,4.3,4.28,1
CLT,PHX,1427,1,4,6,58.39,33.73,8.59,-3.82,1
LAS,PHX,2263,8,4,15,24.42,45.69,9.8,4.38,1
ORD,SEA,3422,12,2,7,35.63,51.97,2.85,26.43,1
DEN,PHX,1135,3,2,11,29.13,36.18,6.19,2.07,1
CLT,PHX,453,6,7,13,25.69,48.95,1.05,31.77,1
CLT,SFO,1411,3,5,18,1.64,18.74,7.42,13.48,1
CLT,DTW,528,11,7,10,27.0,13.72,4.73,6.15,1
JFK,BOS,2791,2,5,11,66.71,25.84,2.74,10.62,1
ATL,SEA,3030,5,3,12,51.78,40.66,7.77,25.47,1
JFK,SFO,3244,1,1,7,10.91,11.23,8.3,15.84,1
DEN,BOS,1620,9,1,0,44.34,40.82,2.0,-9.64,1
JFK,MSP,1740,11,5,8,66.92,23.65,1.37,36.12,1
LAX,SFO,3730,7,2,1,52.5,47.73,4.01,-6.7,1
ATL,IAH,3601,3,6,13,11.15,2.21,6.63,36.93,0
ATL,SFO,3092,4,7,12,65.09,40.08,8.14,-8.59,1
DEN,PHX,1392,6,3,15,22.62,38.99,5.91,28.55,1
LAS,BOS,1916,3,1,1,34.06,56.46,6.23,16.73,1
LAX,SEA,2613,12,5,3,39.46,42.8,8.2,15.29,1
ORD,SEA,1401,7,2,11,63.79,47.78,5.76,-6.36,1
JFK,BOS,854,6,2,15,69.87,54.28,6.5,1.94,1
DFW,PHX,1585,9,2,9,69.72,40.5,5.65,28.88,1
JFK,MIA,959,12,7,2,0.6,17.41,8.92,34.56,0
CLT,SFO,2886,5,6,3,69.14,52.19,3.12,16.46,1
JFK,PHX,1998,4,4,5,4.08,44.85,3.38,7.67,1
ORD,IAH,1263,3,7,22,19.93,25.47,2.15,-7.0,1
JFK,DTW,3171,10,6,4,38.62,42.63,8.38,24.11,1
LAX,MSP,615,1,2,17,35.99,52.06,4.71,3.92,1
LAX,BOS,3626,3,5,2,45.35,58.54,4.13,-7.25,1
ATL,DTW,454,3,3,9,35.96,57.14,9.83,23.29,1
DEN,SFO,1366,7,6,10,70.08,19.52,9.34,14.29,1
LAS,SEA,2076,7,5,18,18.04,25.3,9.75,-9.4,1
DFW,MSP,2957,12,7,13,20.55,6.57,2.28,-4.45,1
CLT,DTW,2824,1,7,20,69.06,14.85,9.02,24.96,1
JFK,MIA,1099,3,2,10,5.76,52.95,3.96,-6.82,1
JFK,DTW,2258,8,3,20,45.72,21.65,1.11,33.3,1
ORD,IAH,3891,9,1,3,51.13,37.23,4.52,5.57,1
DEN,SEA,225,7,1,23,37.92,39.96,5.58,-5.57,1
LAX,BOS,3204,7,7,21,52.07,46.91,1.97,27.99,1
DFW,SFO,620,12,5,5,12.96,10.97,5.84,16.22,1
ATL,BOS,3934,11,3,16,63.95,18.29,8.38,5.33,1
LAX,MSP,1444,8,5,21,10.5,26.9,4.4,10.3,1
CLT,SFO,2076,6,3,18,30.06,21.89,4.17,-8.93,1
DEN,PHX,2743,11,3,12,5.64,58.97,4.05,23.13,1
CLT,MIA,1460,3,7,21,40.89,50.1,9.31,8.29,1
LAS,PHX,2484,1,5,9,50.23,28.78,1.44,25.7,1
ATL,PHX,1208,7,7,10,70.59,52.76,5.01,21.41,1
LAS,BOS,418,1,3,5,55.45,20.86,3.38,22.56,1
ORD,MSP,1710,1,6,1,40.58,47.15,9.04,29.64,1
CLT,MIA,2159,9,2,0,69.95,13.42,1.86,21.56,1
ORD,DTW,2708,10,3,10,35.88,46.34,4.7,10.94,1
JFK,SFO,862,7,6,15,42.09,27.39,4.66,9.5,1
LAS,SFO,2882,11,3,2,44.71,6.45,9.0,-4.02,1
DEN,IAH,3415,4,6,4,30.75,16.4,2.94,28.97,1
CLT,SEA,1189,6,5,14,62.89,24.14,6.8,28.06,1
DFW,IAH,388,1,1,14,13.89,44.96,2.21,2.31,1
ATL,DTW,454,7,4,3,41.61,4.38,9.59,33.13,1
LAX,IAH,267,12,3,22,54.17,39.57,6.34,19.45,1
DEN,SFO,815,6,4,3,67.8,42.96,6.64,13.93,1
DEN,BOS,2583,4,3,7,66.29,39.24,4.9,-9.13,1
ORD,PHX,2918,7,5,6,38.16,45.64,4.08,9.14,1
LAS,MSP,3068,3,5,16,48.24,10.69,2.91,22.03,1
CLT,PHX,1073,1,6,14,29.57,35.23,6.44,-5.51,1
CLT,PHX,3680,4,3,4,35.11,56.47,9.59,12.98,1
JFK,MIA,2547,3,5,12,67.97,36.65,4.24,39.67,1
JFK,SFO,1825,1,5,3,69.8,36.68,8.95,25.83,1
ATL,DTW,556,2,3,21,67.16,44.19,2.34,17.34,1
ORD,DTW,455,11,6,16,10.38,19.99,9.43,16.65,0
DEN,MSP,1207,5,6,21,63.76,42.03,4.15,-7.81,1
CLT,BOS,2600,8,6,16,71.13,54.97,4.42,37.87,1
DFW,MIA,1955,1,6,13,27.09,0.65,5.17,36.41,1
ORD,SEA,3792,4,1,13,38.9,52.21,7.46,24.12,1
ATL,BOS,2771,4,3,16,58.43,13.12,7.48,-5.05,1
ATL,IAH,3197,5,7,7,42.16,27.36,5.32,0.39,1
ORD,BOS,3003,7,1,1,74.51,51.14,5.71,-0.8,1
ATL,BOS,3965,12,5,12,34.18,49.43,1.27,15.98,1
ORD,PHX,483,8,1,21,53.55,53.52,3.74,0.39,1
LAX,BOS,3583,6,7,15,59.44,56.43,4.11,24.79,1
ORD,DTW,298,1,7,15,37.06,26.83,6.03,17.26,1
LAS,IAH,396,7,7,5,64.27,39.38,6.02,-9.12,1
ORD,IAH,2729,3,6,21,40.96,23.43,7.39,27.2,1
ATL,SFO,1077,6,5,23,30.87,21.04,7.45,-0.56,1
CLT,BOS,3497,8,1,3,8.09,25.9,3.12,31.24,1
LAS,PHX,2068,7,1,2,29.51,44.58,7.93,7.75,1
ATL,BOS,2862,10,3,5,55.05,30.09,1.18,6.93,1
JFK,SEA,2865,6,1,3,69.1,48.84,7.45,-9.41,1
JFK,SEA,1588,9,5,17,18.88,44.71,1.92,39.39,1
CLT,PHX,2615,9,6,5,26.64,1.23,7.57,20.6,1
CLT,SFO,769,1,3,4,11.55,37.81,5.74,11.14,1
LAS,SFO,2837,1,1,8,51.8,26.19,4.94,-5.17,1
LAX,IAH,3346,1,3,10,72.01,27.4,7.22,24.96,1
CLT,IAH,1265,8,4,5,48.07,49.1,1.33,4.14,1
JFK,MIA,621,12,3,15,46.28,32.86,3.01,39.41,1
ORD,PHX,3083,12,7,18,41.51,53.14,6.55,37.53,1
ATL,BOS,1404,10,6,10,6.63,42.77,8.62,26.76,1
JFK,MSP,744,7,7,20,54.71,33.17,4.43,38.55,1
JFK,PHX,270,3,4,14,45.15,45.27,3.33,-4.72,1
LAX,MIA,3839,2,7,23,49.61,2.3,5.67,4.0,1
LAS,IAH,3376,4,4,8,67.41,1.63,6.6,2.66,1
LAS,PHX,1423,3,3,23,58.8,5.0,4.78,-6.4,1
DEN,PHX,3372,7,5,18,58.57,26.25,8.89,38.61,1
LAX,IAH,967,10,6,18,69.54,14.13,5.71,-7.0,1
ORD,DTW,2554,8,5,23,74.25,59.06,1.32,32.83,1
LAS,MIA,3857,6,6,8,43.6,32.54,3.01,28.41,1
ATL,IAH,1906,3,6,22,8.17,39.74,5.06,8.79,1
CLT,SFO,2624,6,7,3,34.43,16.73,7.28,-9.06,1
LAX,BOS,854,2,7,9,59.07,19.31,2.98,-9.7,1
CLT,IAH,2925,12,5,8,2.08,20.13,9.79,0.2,0
JFK,MIA,2646,7,2,18,4.27,41.92,3.87,14.69,1
ATL,SEA,1996,11,4,14,5.04,28.42,5.79,12.9,1
ATL,SFO,420,10,7,18,54.83,31.06,1.17,19.26,1
JFK,SEA,3866,7,7,1,37.59,35.52,8.96,28.6,1
LAX,MSP,381,4,7,9,27.67,46.13,8.1,8.87,1
JFK,IAH,506,8,3,18,7.92,5.42,2.76,-1.98,1
CLT,SFO,2769,4,5,16,54.92,46.61,9.4,30.0,1
DEN,BOS,1619,7,5,19,24.08,33.79,3.84,6.63,1
ATL,IAH,1213,4,7,23,19.9,40.15,7.23,4.34,1
DFW,BOS,2251,12,3,20,48.92,19.65,8.37,28.22,1
DFW,DTW,3110,5,7,1,41.93,24.56,7.67,36.71,1
CLT,PHX,1047,7,4,18,27.18,13.87,9.26,35.75,1
ORD,SEA,1003,10,3,16,48.11,58.76,8.78,-3.13,1
LAS,SFO,3552,3,7,17,20.34,29.82,9.95,15.16,1
JFK,BOS,414,10,6,16,59.61,59.76,2.64,-5.36,1
JFK,MIA,3219,5,2,1,17.2,29.39,3.74,38.05,1
ORD,BOS,3881,11,6,18,11.91,13.19,6.73,0.76,1
ORD,MIA,1643,3,2,0,58.68,30.45,7.6,-0.13,1
CLT,IAH,300,5,3,10,53.09,2.38,5.81,34.44,1
CLT,SFO,3210,3,6,9,13.7,54.29,1.67,38.39,1
ORD,BOS,3792,11,4,4,8.72,49.11,8.57,24.88,1
ATL,MSP,772,10,6,15,62.88,43.55,9.65,-3.95,1
