State,City,Vehicle_Type,Weather,Road_Type,Time,Year,Total_Accidents,Fatal_Accidents,Accident_Severity
Karnataka,Bangalore,Van,Foggy,Rural,Afternoon,2019,8254,8337,3
Delhi,Chennai,Car,Dusty,Rural,Afternoon,2018,38681,6369,3
Bihar,Ahmedabad,Van,Foggy,Highway,Morning,2018,19726,9452,3
Karnataka,Lucknow,Car,Clear,Highway,Morning,2019,43492,9963,3
Delhi,Patna,Auto,Rainy,Highway,Morning,2022,7065,8093,3
Gujarat,New Delhi,Car,Clear,Rural,Evening,2020,30672,1994,2
Gujarat,Ahmedabad,Auto,Dusty,Rural,Night,2021,21860,1266,2
West Bengal,Ahmedabad,Car,Clear,Urban,Morning,2020,21197,1549,2
Karnataka,Kolkata,Auto,Foggy,Rural,Afternoon,2022,2700,2497,3
Gujarat,Kochi,Auto,Foggy,Highway,Night,2022,30977,3606,2
Delhi,Kolkata,Van,Foggy,Urban,Evening,2019,14872,8569,3
West Bengal,Kolkata,Van,Clear,Rural,Night,2020,9381,7361,3
Delhi,Lucknow,Auto,Clear,Urban,Morning,2018,46927,4056,2
West Bengal,Chennai,Van,Clear,Urban,Night,2019,48797,6573,2
Karnataka,Bangalore,Auto,Foggy,Rural,Afternoon,2019,6590,1573,3
Bihar,Kolkata,Van,Foggy,Highway,Night,2021,15145,577,1
Uttar Pradesh,Jaipur,Truck,Foggy,Highway,Morning,2019,45206,7417,3
Rajasthan,Bangalore,Car,Clear,Urban,Night,2020,4462,7920,3
Bihar,Chennai,Auto,Clear,Rural,Night,2022,30994,8010,3
Kerala,New Delhi,Bike,Dusty,Rural,Night,2021,40789,609,1
Delhi,Kochi,Van,Rainy,Highway,Afternoon,2018,42862,9048,3
Kerala,Bangalore,Van,Foggy,Rural,Night,2020,7383,6034,3
Bihar,Patna,Bus,Clear,Rural,Night,2018,40580,4226,2
West Bengal,Lucknow,Bike,Rainy,Urban,Evening,2019,29000,9692,3
Rajasthan,Ahmedabad,Bike,Clear,Rural,Night,2020,41293,1161,1
Rajasthan,New Delhi,Truck,Clear,Rural,Night,2021,16348,4746,3
Maharashtra,Chennai,Car,Foggy,Rural,Evening,2021,45647,4871,2
Rajasthan,Kolkata,Truck,Rainy,Highway,Afternoon,2018,3752,455,2
Uttar Pradesh,Jaipur,Car,Clear,Highway,Afternoon,2022,48755,3108,2
Rajasthan,Jaipur,Auto,Rainy,Urban,Evening,2021,30637,4462,2
Bihar,Kochi,Truck,Rainy,Highway,Evening,2018,14492,389,1
Maharashtra,Chennai,Bus,Foggy,Highway,Night,2022,20214,8040,3
Bihar,New Delhi,Car,Rainy,Highway,Afternoon,2020,32591,9335,3
Bihar,Patna,Truck,Dusty,Highway,Afternoon,2021,39895,9807,3
Tamil Nadu,Ahmedabad,Bus,Dusty,Urban,Night,2021,7477,112,1
Maharashtra,Kolkata,Bike,Foggy,Rural,Morning,2018,40647,6892,3
Bihar,Lucknow,Van,Foggy,Rural,Night,2021,13275,488,1
Tamil Nadu,Mumbai,Auto,Dusty,Rural,Morning,2018,37093,2057,2
Tamil Nadu,Mumbai,Auto,Foggy,Urban,Night,2021,29655,3777,2
Maharashtra,Kolkata,Bike,Rainy,Highway,Evening,2018,13435,3519,3
Kerala,New Delhi,Truck,Clear,Urban,Night,2021,48066,6441,2
West Bengal,Kolkata,Van,Foggy,Urban,Evening,2020,25378,3340,2
Uttar Pradesh,Chennai,Bike,Dusty,Urban,Morning,2020,25493,3855,3
West Bengal,Mumbai,Bus,Clear,Rural,Morning,2018,35372,2304,2
Rajasthan,Kochi,Van,Rainy,Highway,Evening,2020,38857,1447,1
Uttar Pradesh,Chennai,Car,Clear,Rural,Evening,2018,3146,8242,3
Rajasthan,Mumbai,Truck,Dusty,Urban,Afternoon,2018,34097,9511,3
Bihar,Patna,Van,Clear,Urban,Afternoon,2019,3610,6513,3
Delhi,Ahmedabad,Car,Dusty,Rural,Night,2020,32755,8353,3
Maharashtra,Jaipur,Bike,Foggy,Rural,Evening,2019,5867,597,2
Uttar Pradesh,Chennai,Auto,Foggy,Rural,Morning,2019,34405,7924,3
Uttar Pradesh,Jaipur,Van,Dusty,Highway,Afternoon,2021,30573,9029,3
Bihar,Jaipur,Van,Foggy,Rural,Evening,2018,49345,6360,2
Kerala,Mumbai,Car,Rainy,Highway,Morning,2022,27258,1014,1
Tamil Nadu,Chennai,Car,Clear,Highway,Morning,2019,46329,5063,2
Bihar,Ahmedabad,Auto,Dusty,Rural,Evening,2021,29130,3749,2
Gujarat,Patna,Car,Dusty,Urban,Night,2020,5545,2474,3
Tamil Nadu,Bangalore,Car,Dusty,Urban,Afternoon,2022,38510,5759,2
Maharashtra,Kochi,Van,Rainy,Highway,Afternoon,2018,23240,6976,3
Tamil Nadu,Jaipur,Auto,Rainy,Highway,Evening,2021,1286,7544,3
Kerala,Ahmedabad,Auto,Rainy,Highway,Night,2022,35817,6022,3
Tamil Nadu,Lucknow,Van,Dusty,Urban,Morning,2018,20130,2633,2
Maharashtra,Lucknow,Bike,Rainy,Highway,Night,2018,38933,6775,3
Kerala,Bangalore,Bike,Foggy,Highway,Afternoon,2022,39040,1322,1
West Bengal,Bangalore,Van,Clear,Urban,Evening,2021,11159,6954,3
Uttar Pradesh,Bangalore,Car,Foggy,Rural,Afternoon,2022,20492,7363,3
Uttar Pradesh,Kochi,Truck,Foggy,Urban,Evening,2019,22100,8162,3
Rajasthan,Kochi,Bike,Rainy,Rural,Night,2018,48427,188,1
West Bengal,Patna,Bike,Dusty,Rural,Afternoon,2020,35605,7785,3
West Bengal,Jaipur,Van,Foggy,Highway,Night,2022,27745,3094,2
Tamil Nadu,New Delhi,Van,Clear,Highway,Afternoon,2022,2316,7166,3
Uttar Pradesh,Lucknow,Truck,Rainy,Rural,Night,2018,10846,9973,3
Maharashtra,Mumbai,Truck,Foggy,Highway,Afternoon,2018,2302,3681,3
Karnataka,Mumbai,Auto,Rainy,Rural,Evening,2022,2310,8815,3
Karnataka,Bangalore,Van,Clear,Highway,Night,2020,44452,6518,2
Kerala,Kolkata,Bike,Rainy,Urban,Night,2018,39697,8756,3
Uttar Pradesh,Lucknow,Bus,Dusty,Rural,Evening,2018,21600,8946,3
Uttar Pradesh,New Delhi,Bus,Foggy,Rural,Morning,2019,47129,8744,3
Karnataka,New Delhi,Car,Foggy,Highway,Afternoon,2021,44290,391,1
Uttar Pradesh,Mumbai,Bike,Dusty,Urban,Afternoon,2019,28478,7261,3
Tamil Nadu,Kolkata,Bus,Clear,Highway,Evening,2020,1227,3768,3
Gujarat,New Delhi,Bike,Clear,Urban,Afternoon,2021,32047,1933,2
Delhi,Lucknow,Van,Rainy,Highway,Night,2022,29303,3774,2
West Bengal,Jaipur,Bike,Foggy,Rural,Night,2020,13126,2017,3
Rajasthan,Ahmedabad,Bus,Clear,Urban,Evening,2020,25296,3713,2
Kerala,Kolkata,Bike,Dusty,Urban,Night,2019,38145,1309,1
Gujarat,New Delhi,Truck,Dusty,Highway,Morning,2021,41317,8542,3
Karnataka,Kolkata,Car,Dusty,Urban,Afternoon,2020,11588,2768,3
West Bengal,Kolkata,Auto,Clear,Highway,Evening,2021,12539,1563,2
Uttar Pradesh,Jaipur,Bus,Dusty,Urban,Evening,2022,4672,3384,3
Rajasthan,Lucknow,Van,Foggy,Highway,Afternoon,2021,41162,8635,3
Uttar Pradesh,Mumbai,Auto,Clear,Highway,Morning,2019,3152,4025,3
Maharashtra,Jaipur,Car,Clear,Highway,Evening,2019,12642,7246,3
Maharashtra,New Delhi,Truck,Foggy,Rural,Afternoon,2020,16510,5881,3
Rajasthan,Bangalore,Truck,Dusty,Urban,Morning,2021,29763,5713,3
Rajasthan,Jaipur,Truck,Clear,Rural,Evening,2019,9023,5316,3
Karnataka,Bangalore,Truck,Foggy,Rural,Morning,2018,13963,9640,3
Rajasthan,Chennai,Bus,Foggy,Rural,Evening,2019,32215,5062,3
Tamil Nadu,Mumbai,Bus,Rainy,Rural,Afternoon,2022,34672,7901,3
Uttar Pradesh,Lucknow,Bike,Dusty,Urban,Afternoon,2018,26033,185,1
Gujarat,Ahmedabad,Van,Dusty,Urban,Afternoon,2021,36779,1140,1
Bihar,Kolkata,Bike,Foggy,Rural,Morning,2020,11060,2391,3
Rajasthan,Bangalore,Van,Clear,Urban,Night,2018,22093,6017,3
Kerala,Ahmedabad,Car,Rainy,Urban,Morning,2019,42327,7485,3
Maharashtra,Ahmedabad,Bike,Rainy,Highway,Afternoon,2020,34008,2032,2
Tamil Nadu,Bangalore,Car,Clear,Urban,Evening,2020,9998,6249,3
West Bengal,Ahmedabad,Car,Rainy,Rural,Night,2020,36684,480,1
Bihar,Kolkata,Car,Clear,Urban,Morning,2020,2257,878,3
Gujarat,Patna,Truck,Rainy,Rural,Morning,2021,34524,3406,2
Bihar,Chennai,Auto,Clear,Urban,Evening,2021,16652,3555,3
Rajasthan,Bangalore,Auto,Foggy,Rural,Evening,2021,18259,223,1
Karnataka,Kolkata,Bus,Foggy,Urban,Afternoon,2019,41892,1183,1
Maharashtra,Mumbai,Car,Rainy,Urban,Morning,2021,28461,2157,2
Maharashtra,Bangalore,Truck,Rainy,Urban,Evening,2020,14792,9262,3
West Bengal,Kolkata,Bike,Foggy,Rural,Evening,2018,28125,6839,3
Karnataka,Kolkata,Bike,Dusty,Highway,Night,2018,15215,9741,3
Uttar Pradesh,Jaipur,Bus,Clear,Rural,Afternoon,2018,25332,3318,2
Delhi,Patna,Bus,Dusty,Urban,Afternoon,2018,39808,4652,2
Tamil Nadu,Bangalore,Car,Rainy,Rural,Morning,2018,41384,4807,2
Maharashtra,Lucknow,Car,Foggy,Urban,Evening,2022,19720,1906,2
Kerala,Kolkata,Bike,Rainy,Urban,Afternoon,2018,19188,5770,3
Maharashtra,Chennai,Bike,Dusty,Highway,Morning,2018,27282,7766,3
Bihar,Jaipur,Bike,Foggy,Urban,Afternoon,2018,40240,3769,2
Maharashtra,Kolkata,Bike,Foggy,Urban,Morning,2019,15818,9820,3
Maharashtra,Bangalore,Auto,Foggy,Urban,Evening,2022,37110,4745,2
Delhi,New Delhi,Car,Clear,Highway,Afternoon,2018,29374,2839,2
Delhi,Kolkata,Car,Rainy,Rural,Morning,2021,24464,3058,2
Gujarat,Kochi,Bike,Dusty,Highway,Morning,2019,43497,7286,3
Uttar Pradesh,New Delhi,Truck,Clear,Rural,Evening,2022,38051,7430,3
Kerala,Kolkata,Bike,Dusty,Urban,Afternoon,2021,29253,813,1
Maharashtra,Ahmedabad,Van,Clear,Rural,Morning,2021,10161,8050,3
Maharashtra,Kolkata,Bus,Foggy,Rural,Morning,2019,1548,9173,3
Tamil Nadu,Mumbai,Van,Clear,Rural,Morning,2021,45573,3099,2
Delhi,Ahmedabad,Truck,Rainy,Rural,Morning,2020,12260,8534,3
Kerala,Bangalore,Bus,Rainy,Urban,Afternoon,2019,42420,8951,3
West Bengal,Chennai,Truck,Dusty,Highway,Night,2019,22799,1096,1
Gujarat,New Delhi,Bus,Foggy,Rural,Afternoon,2020,14583,1070,2
Uttar Pradesh,Lucknow,Bike,Foggy,Urban,Morning,2019,32106,8044,3
Karnataka,Jaipur,Bike,Dusty,Urban,Afternoon,2021,24167,1640,2
Uttar Pradesh,Chennai,Truck,Rainy,Urban,Afternoon,2021,16008,750,1
Bihar,Ahmedabad,Bus,Rainy,Urban,Evening,2021,48953,6346,2
Maharashtra,Jaipur,Auto,Dusty,Rural,Evening,2020,12808,6078,3
Gujarat,New Delhi,Truck,Foggy,Highway,Morning,2021,41041,3863,2
Bihar,Lucknow,Truck,Dusty,Urban,Night,2020,42631,9561,3
Kerala,Kochi,Van,Dusty,Highway,Evening,2020,11377,2295,3
Karnataka,Kochi,Car,Clear,Highway,Afternoon,2020,3484,9110,3
Delhi,Lucknow,Truck,Dusty,Highway,Morning,2019,9427,4865,3
Gujarat,Jaipur,Auto,Rainy,Urban,Night,2022,41384,9491,3
Gujarat,Bangalore,Bike,Dusty,Urban,Evening,2020,9324,868,2
Maharashtra,Jaipur,Bus,Foggy,Urban,Morning,2021,31859,4614,2
Rajasthan,Kolkata,Car,Foggy,Highway,Night,2020,29617,2045,2
Gujarat,Jaipur,Bus,Rainy,Urban,Morning,2018,8978,8259,3
Tamil Nadu,Bangalore,Bike,Foggy,Urban,Night,2019,46423,2924,2
Karnataka,Chennai,Truck,Dusty,Highway,Evening,2021,29836,3284,2
Karnataka,New Delhi,Van,Rainy,Urban,Afternoon,2019,6594,4728,3
Tamil Nadu,Jaipur,Auto,Foggy,Rural,Afternoon,2019,6432,9199,3
West Bengal,New Delhi,Car,Dusty,Rural,Evening,2018,15202,8519,3
Tamil Nadu,Ahmedabad,Auto,Foggy,Rural,Evening,2020,43728,1726,1
Tamil Nadu,Kochi,Auto,Clear,Rural,Evening,2021,13093,9642,3
Karnataka,Kochi,Auto,Foggy,Highway,Night,2022,678,3137,3
Uttar Pradesh,Bangalore,Auto,Rainy,Urban,Night,2019,2411,7419,3
Karnataka,Ahmedabad,Bike,Dusty,Rural,Night,2022,32187,4373,2
Rajasthan,Kochi,Auto,Dusty,Rural,Night,2022,5012,2113,3
Maharashtra,Bangalore,Van,Rainy,Urban,Night,2020,44117,4663,2
Bihar,Jaipur,Auto,Clear,Highway,Night,2022,19559,6399,3
Uttar Pradesh,Ahmedabad,Bike,Dusty,Rural,Night,2021,19216,6503,3
Delhi,Kolkata,Bus,Rainy,Urban,Evening,2020,4489,6639,3
Bihar,Kolkata,Bike,Foggy,Urban,Night,2022,19638,5798,3
Maharashtra,Kolkata,Van,Clear,Rural,Morning,2020,30947,370,1
Rajasthan,Chennai,Van,Rainy,Rural,Night,2021,47306,7304,3
Rajasthan,Kolkata,Truck,Foggy,Urban,Afternoon,2019,2550,492,3
Delhi,Ahmedabad,Bike,Dusty,Urban,Afternoon,2018,31979,7491,3
Uttar Pradesh,Mumbai,Bus,Dusty,Rural,Evening,2020,8953,5089,3
West Bengal,Kochi,Truck,Clear,Rural,Afternoon,2018,42954,8885,3
Tamil Nadu,Kolkata,Truck,Foggy,Rural,Afternoon,2019,33599,2709,2
Uttar Pradesh,Ahmedabad,Car,Rainy,Rural,Afternoon,2021,15800,5297,3
West Bengal,Patna,Auto,Dusty,Highway,Evening,2019,37624,8599,3
Rajasthan,Jaipur,Truck,Rainy,Urban,Evening,2018,32246,4777,2
Karnataka,Chennai,Truck,Rainy,Rural,Night,2021,36087,659,1
Maharashtra,New Delhi,Van,Rainy,Urban,Afternoon,2022,5042,6102,3
Delhi,Bangalore,Bus,Clear,Rural,Night,2022,14027,4108,3
Maharashtra,Patna,Truck,Rainy,Highway,Evening,2020,5368,1495,3
Kerala,Patna,Bus,Clear,Urban,Night,2022,8624,9429,3
Kerala,Chennai,Auto,Clear,Highway,Night,2018,7122,4472,3
Uttar Pradesh,Bangalore,Van,Foggy,Urban,Afternoon,2022,27692,4657,3
Rajasthan,Chennai,Car,Dusty,Highway,Evening,2020,7083,6865,3
Rajasthan,Kolkata,Car,Rainy,Rural,Afternoon,2021,12987,3580,3
Tamil Nadu,New Delhi,Auto,Foggy,Rural,Night,2022,13455,6228,3
Tamil Nadu,Bangalore,Auto,Foggy,Highway,Evening,2020,793,3701,3
Tamil Nadu,Ahmedabad,Van,Foggy,Rural,Night,2022,28000,8333,3
Karnataka,Kochi,Van,Foggy,Highway,Night,2022,39084,1139,1
Bihar,Chennai,Bike,Foggy,Highway,Afternoon,2018,29256,746,1
Gujarat,New Delhi,Truck,Rainy,Urban,Evening,2020,8984,8000,3
Bihar,Jaipur,Truck,Foggy,Highway,Evening,2020,18045,706,1
Maharashtra,Mumbai,Truck,Dusty,Urban,Afternoon,2019,1008,5717,3
Bihar,Jaipur,Bus,Clear,Highway,Morning,2019,29031,8949,3
Karnataka,Mumbai,Bike,Clear,Urban,Afternoon,2020,44749,6738,3
Maharashtra,Lucknow,Truck,Dusty,Urban,Afternoon,2018,29789,8238,3
Bihar,Ahmedabad,Bus,Rainy,Rural,Morning,2022,22060,555,1
Karnataka,Lucknow,Bus,Clear,Urban,Evening,2021,27215,5296,3
Gujarat,Chennai,Car,Dusty,Urban,Morning,2022,38147,4509,2
Bihar,Chennai,Bus,Dusty,Highway,Night,2021,18277,1022,2
Karnataka,Mumbai,Auto,Foggy,Urban,Night,2018,11310,4157,3
Tamil Nadu,Bangalore,Van,Clear,Rural,Afternoon,2019,27052,5420,3
Rajasthan,New Delhi,Bus,Foggy,Highway,Night,2020,30312,426,1
Tamil Nadu,Kolkata,Auto,Rainy,Urban,Morning,2018,31889,222,1
Rajasthan,Patna,Auto,Clear,Highway,Night,2021,18182,5227,3
Delhi,Chennai,Car,Clear,Highway,Evening,2020,48980,8293,3
Delhi,Lucknow,Car,Dusty,Highway,Afternoon,2021,28027,1269,1
Delhi,Lucknow,Bus,Clear,Highway,Afternoon,2022,4358,2778,3
Gujarat,Jaipur,Car,Rainy,Highway,Evening,2022,19991,6725,3
Tamil Nadu,Ahmedabad,Car,Rainy,Urban,Evening,2022,1240,1165,3
Rajasthan,Mumbai,Van,Clear,Highway,Afternoon,2020,29368,1481,2
Karnataka,Patna,Truck,Dusty,Highway,Evening,2019,32938,1774,2
Maharashtra,Mumbai,Bus,Rainy,Rural,Night,2019,38873,2718,2
Karnataka,Chennai,Bus,Foggy,Rural,Night,2021,29937,6935,3
Maharashtra,Kochi,Bus,Rainy,Highway,Night,2019,34702,1837,2
Kerala,Patna,Car,Clear,Urban,Night,2019,38810,6464,3
Karnataka,Jaipur,Van,Foggy,Rural,Morning,2021,48866,2196,1
Bihar,Lucknow,Car,Clear,Rural,Morning,2021,675,1051,3
Bihar,Jaipur,Auto,Clear,Highway,Morning,2021,23954,8651,3
Uttar Pradesh,Chennai,Bike,Clear,Urban,Morning,2020,43785,7721,3
Tamil Nadu,Kochi,Bike,Dusty,Urban,Night,2021,14154,851,2
Maharashtra,Kolkata,Bike,Dusty,Rural,Night,2020,42780,739,1
Maharashtra,Patna,Truck,Rainy,Rural,Evening,2020,48907,1965,1
Tamil Nadu,Mumbai,Car,Clear,Rural,Morning,2020,35739,8065,3
Gujarat,Patna,Auto,Foggy,Rural,Morning,2021,18323,8218,3
Uttar Pradesh,Lucknow,Auto,Foggy,Rural,Afternoon,2019,29204,7295,3
Gujarat,Mumbai,Bike,Foggy,Highway,Evening,2019,708,2240,3
Gujarat,Kolkata,Van,Dusty,Highway,Night,2021,31821,2838,2
Gujarat,Kolkata,Truck,Dusty,Highway,Evening,2019,14405,6782,3
Tamil Nadu,Ahmedabad,Truck,Clear,Rural,Evening,2021,747,6882,3
Gujarat,Mumbai,Bike,Foggy,Highway,Afternoon,2020,28525,5527,3
Bihar,New Delhi,Bike,Foggy,Rural,Afternoon,2022,36162,8709,3
Delhi,Kochi,Car,Dusty,Urban,Evening,2018,12466,2051,3
Kerala,New Delhi,Van,Dusty,Urban,Morning,2021,34057,6119,3
Maharashtra,Kolkata,Truck,Foggy,Highway,Night,2020,37348,659,1
Maharashtra,Mumbai,Auto,Foggy,Urban,Afternoon,2022,27336,9075,3
Kerala,Ahmedabad,Bike,Rainy,Urban,Afternoon,2020,18630,3871,3
Tamil Nadu,Patna,Car,Dusty,Urban,Night,2018,1617,7058,3
Karnataka,Patna,Auto,Clear,Highway,Afternoon,2019,19853,6747,3
Tamil Nadu,Patna,Truck,Clear,Urban,Evening,2019,9732,9417,3
Maharashtra,Ahmedabad,Bike,Foggy,Highway,Night,2020,46818,8510,3
Maharashtra,Chennai,Van,Dusty,Rural,Morning,2018,15363,8179,3
Kerala,Mumbai,Bike,Clear,Rural,Afternoon,2020,6286,2276,3
Gujarat,New Delhi,Van,Dusty,Highway,Afternoon,2019,6820,4750,3
Tamil Nadu,Kochi,Car,Foggy,Highway,Evening,2020,49949,1043,1
Rajasthan,Kolkata,Car,Foggy,Urban,Morning,2022,42457,9383,3
Kerala,Kochi,Truck,Foggy,Rural,Afternoon,2018,11536,1843,3
Bihar,Kolkata,Van,Dusty,Urban,Night,2019,11893,4082,3
Maharashtra,Mumbai,Bike,Clear,Rural,Night,2020,15198,3909,3
Kerala,Mumbai,Car,Rainy,Urban,Evening,2018,3163,1780,3
Tamil Nadu,Jaipur,Bike,Clear,Urban,Evening,2020,28417,191,1
Maharashtra,New Delhi,Truck,Dusty,Rural,Afternoon,2019,19199,4119,3
Karnataka,Lucknow,Van,Clear,Urban,Evening,2018,41227,5869,2
Kerala,Kolkata,Bike,Rainy,Rural,Night,2019,24591,9810,3
Uttar Pradesh,Bangalore,Auto,Clear,Highway,Evening,2022,4058,9707,3
Maharashtra,Lucknow,Bike,Rainy,Urban,Night,2022,42373,4709,2
Tamil Nadu,Patna,Bus,Dusty,Rural,Afternoon,2021,13004,8731,3
Delhi,Kochi,Bus,Foggy,Rural,Night,2018,1504,8730,3
Rajasthan,Mumbai,Truck,Rainy,Urban,Evening,2022,32722,6874,3
West Bengal,Bangalore,Truck,Dusty,Rural,Night,2021,3093,5416,3
Gujarat,Kolkata,Truck,Foggy,Urban,Night,2018,6317,5574,3
West Bengal,Chennai,Auto,Rainy,Urban,Morning,2019,49039,7481,3
Tamil Nadu,Kolkata,Van,Foggy,Highway,Morning,2020,5563,9422,3
Bihar,Kochi,Auto,Clear,Highway,Afternoon,2020,20286,7475,3
Bihar,Kolkata,Bike,Dusty,Highway,Night,2019,13571,8920,3
Delhi,Kolkata,Car,Dusty,Urban,Night,2022,42381,3116,2
Gujarat,Ahmedabad,Van,Dusty,Urban,Night,2020,47028,7175,3
Uttar Pradesh,New Delhi,Bus,Dusty,Rural,Morning,2019,43180,3180,2
Delhi,Lucknow,Bus,Rainy,Highway,Night,2021,41362,4337,2
West Bengal,Chennai,Bus,Clear,Highway,Morning,2021,39438,6061,3
Delhi,Mumbai,Bike,Foggy,Rural,Afternoon,2019,10207,3852,3
West Bengal,Kolkata,Bike,Dusty,Highway,Night,2018,41252,3583,2
Maharashtra,Chennai,Truck,Dusty,Highway,Night,2022,24188,8996,3
Bihar,Jaipur,Car,Rainy,Highway,Evening,2022,12301,1023,2
Maharashtra,Kolkata,Truck,Rainy,Rural,Morning,2019,43769,9657,3
Rajasthan,Ahmedabad,Bike,Rainy,Highway,Evening,2020,38010,7959,3
Gujarat,Ahmedabad,Auto,Clear,Urban,Afternoon,2022,44196,1655,1
Uttar Pradesh,Bangalore,Truck,Foggy,Highway,Morning,2022,16158,5160,3
West Bengal,Patna,Van,Clear,Urban,Night,2021,47012,3727,2
Uttar Pradesh,Kochi,Bike,Dusty,Highway,Night,2021,2002,4181,3
West Bengal,Lucknow,Bike,Rainy,Urban,Night,2021,34904,5919,3
Tamil Nadu,Jaipur,Auto,Dusty,Highway,Night,2022,35077,2117,2
Delhi,Kochi,Auto,Foggy,Urban,Afternoon,2022,8958,4290,3
Rajasthan,Kochi,Auto,Foggy,Urban,Night,2022,21757,8653,3
Bihar,Bangalore,Car,Clear,Highway,Night,2020,32908,7914,3
West Bengal,Ahmedabad,Van,Clear,Rural,Night,2020,36089,5825,3
Uttar Pradesh,New Delhi,Bike,Rainy,Highway,Evening,2020,37213,5785,3
Rajasthan,Chennai,Auto,Rainy,Rural,Afternoon,2018,37758,3765,2
Karnataka,Mumbai,Car,Dusty,Rural,Morning,2022,21491,1904,2
Karnataka,New Delhi,Bus,Rainy,Rural,Afternoon,2022,25876,8961,3
Maharashtra,New Delhi,Van,Rainy,Rural,Afternoon,2019,21304,6008,3
